titulo;duracion;genero;year;rating;gross;directors;actors
Scrooge: Cuento de Navidad;96 min;Animation, Adventure, Comedy            ;(2022);6.2;N/A;['>Stephen Donnelly<', '>|<'];['>Luke Evans<', '>Olivia Colman<', '>Jessie Buckley<', '>Johnny Flynn<']
Sugar;101 min;Crime, Drama            ;(II) (2022);4.4;N/A;['>Vic Sarin<', '>|<'];['>Katherine McNamara<', '>Jasmine Sky Sarin<', '>Éric Bruneau<', '>Anthony Timpano<']
Háromezer számozott darab;96 min;Drama            ;(2022);7.6;N/A;['>Ádám Császi<', '>|<'];['>Kelvin Acquah<', '>Ágota Benedek<', '>Dávid Csányi<', '>Sena Dagadu<']
Ogo Bideshini;N/A;Drama            ;(2022);8.6;N/A;['>Anshuman Pratyush<', '>|<'];['>Ankush Hazra<', '>Jamie Humphrey<', '>Santilal Mukherjee<', '>Roshni Pankhania<']
Masooda;160 min;Horror, Thriller            ;(2022);7.3;N/A;['>Sai Kiran<', '>|<'];['>Thiruveer<', '>Bandhavi Sridhar<', '>Sangeetha Krish<', '>Subhalekha Sudhakar<']
Merry Ex-Mas;N/A;Comedy, Romance            ;(2022);8.5;N/A;['>Jacob Cooney<', '>|<'];['>Vanessa Angel<', '>Jason London<', '>Eric Lutes<', '>Kieren Hutchison<']
Adrishyam;123 min;Drama, Mystery, Thriller            ;(2022);5.1;N/A;['>Zac Harriss<', '>|<'];['>Joju George<', '>Athmeeya Rajan<', '>Vinodhini Vaidynathan<', '>Sharafudheen<']
Bungalow;101 min;Comedy, Drama            ;(2022);7.2;N/A;['>Lawrence Côté-Collins<', '>|<'];['>Sonia Cordeau<', '>Guillaume Cyr<', '>Geneviève Schmidt<', '>Ève Landry<']
Kalagathalaivan;141 min;Action, Thriller            ;(2022);6.8;N/A;['>Magizh Thirumeni<', '>|<'];['>Nidhhi Agerwal<', '>Arav<', '>Kalaiyarasan<', '>Anupama Kumar<']
Abbara;148 min;Action            ;(2022);6.8;N/A;['>K. Ramnarayan<', '>|<'];['>Lekha Chandra<', '>Prajwal Devaraj<', '>Vaibhav Gohil<', '>Rajshri Ponnappa<']
Tenkiller;92 min;Drama            ;(2022);6.5;N/A;['>Jeremy Choate<', '>Kara Choate<', '>|<'];['>Ian Walker<', '>Harper Choate<', '>James Allen Pershing<', '>Beck Walker<']
Anel Meley Panithuli;N/A;Drama            ;(2022);7.0;N/A;['>R. Kaiser Anand<', '>|<'];['>Ilavarasu<', '>Andrea Jeremiah<', '>Aadhav Kannadasan<', '>Anupama Kumar<']
Sunny;143 min;N/A;(I) (2022);9.4;N/A;['>Hemant Dhome<', '>|<'];['>Michelle Callcut<', '>Paulo Andre Aragao<', '>Pedro Bosnich<', '>Abhishek Deshmukh<']
Nie cudzolóz i nie kradnij;101 min;Comedy            ;(2022);4.6;N/A;['>Mariusz Kuczewski<', '>|<'];['>Mateusz Banasiuk<', '>Mariusz Drezek<', '>Julia Wieniawa-Narkiewicz<', '>Cezary Pazura<']
Mister Mummy;97 min;Comedy, Drama            ;(2022);2.1;N/A;['>Shaad Ali<', '>|<'];"['>Mahesh Manjrekar<', '>Riteish Deshmukh<', "">Genelia D'Souza<"", '>Atul Sharma<']"
Perfume;123 min;Drama, Romance            ;(II) (2022);3.6;N/A;N/A;['>Kaniha<', '>Prathap Pothen<', '>Praveena<', '>Tini Tom<']
The Ex Obsession;96 min;Thriller            ;(2022);4.9;N/A;['>Michael Civille<', '>|<'];['>Chaley Rose<', '>B.J. Britt<', '>Anthony Dalton<', '>Soma Chhaya<']
Naan Mirugamaai Maara;128 min;Action            ;(2022);4.3;N/A;['>Sathyasiva<', '>|<'];['>Shankarnag Vijayan<', '>Haripriya<', '>Supergood Kannan<', '>Sarath Kumar<']
Wonder Women;N/A;Drama            ;(2022);5.1;N/A;['>Anjali Menon<', '>|<'];['>Nadia Moidu<', '>Nithya Menen<', '>Parvathy Thiruvothu<', '>Padmapriya<']
Skyrybos;90 min;Comedy            ;(2022);6.2;N/A;['>Mantas Verbiejus<', '>|<'];['>Gytis Balciunas<', '>Tekle Baroti<', '>Ramunas Cicenas<', '>Valentin Kirejev<']
Perfume: Her Fragrance;123 min;Drama            ;(2022);6.7;N/A;['>Haridas<', '>|<'];['>Kaniha<', '>Prathap Pothen<', '>Tini Tom<']
Amusia;91 min;Romance            ;(2022);N/A;N/A;['>Marescotti Ruspoli<', '>|<'];['>Fanny Ardant<', '>Maurizio Lombardi<', '>Adriano Chiaramida<', '>Giampiero De Concilio<']
Gaalodu;125 min;Action, Drama, Romance            ;(2022);6.1;N/A;['>RajaSekar Reddy Pulicharla<', '>|<'];['>Boosupalli Ankireddy<', '>Raj Bala<', '>Balaji<', '>Venkata Kondareddy Bana<']
A Christmas Karen;98 min;Comedy            ;(2022);4.9;N/A;['>Jon Binkowski<', '>Lisa Enos Smith<', '>|<'];['>Michele Simms<', '>Meghan Colleen Moroney<', '>Rolin Alexis<', '>Amina Massai<']
Aum Mangalam Singlem;174 min;Romance            ;(2022);7.6;N/A;['>Saandeep Patel<', '>|<'];['>Malhar Thakar<', '>Aarohi Patel<', '>Bhamini Oza<', '>Tatsat Munshi<']
1744 White Alto;110 min;Comedy, Crime            ;(2022);6.4;N/A;['>Senna Hegde<', '>|<'];['>Vincy Aloshious<', '>Nilja K. Baby<', '>Sajin Cherukayil<', '>Suchithra Devi<']
The Land Within;118 min;Drama, Mystery, Thriller            ;(2022);8.4;N/A;['>Fisnik Maxville<', '>|<'];['>Luàna Bajrami<', '>May-Linda Kosumovic<', '>Florist Bajgora<', '>Fisnik Maxville<']
Lottery;N/A;Crime, Drama, Romance            ;(I) (2022);8.8;N/A;['>Ryan J. Smith<', '>|<'];['>Mitchell Fisher<', '>Niamh Branigan<', '>Neizan Fernandez<', '>Harry McLafferty<']
Controlled;116 min;Thriller            ;(2022);8.9;N/A;['>Danielle Dominique Nelson<', '>|<'];['>Eric Roberts<', '>Tasha Conerly<', '>Wayne Lundy<', '>Paul Michael Grant<']
Vivaha Avahanam;128 min;Comedy, Drama, Romance            ;(2022);8.8;N/A;['>Sajan Alummoottil<', '>|<'];['>Vaibhav Gohil<', '>Rajeev Pillai<', '>Aju Varghese<', '>Niranjan<']
Mata;155 min;Biography, Comedy            ;(2022);9.5;N/A;['>Venshi Ravindra<', '>|<'];['>Bank Janardhan<', '>Sadhu Kokila<', '>Sharath Lohitashwa<', '>Santosh<']
Müjdemi Isterim;103 min;Comedy            ;(2022);5.4;N/A;['>Ömer Faruk Yardimci<', '>|<'];['>Ahmet Kural<', '>Ecem Erkek<', '>Ilker Aksum<', '>Fulden Akyürek<']
Rupture;84 min;Action, Thriller            ;(I) (2022);8.6;N/A;['>Ranjeet S. Marwa<', '>|<'];['>Sean Cronin<', '>James Jaysen Bryhan<', '>Djonny Chen<', '>Nick Khan<']
All Is Calm;88 min;Drama, Thriller            ;(2022);6.2;N/A;['>Brittany Goodwin<', '>Ricky Burchell<', '>|<'];['>Brittany Goodwin<', '>Jacob Lynn<', '>Layla Cushman<', '>Aaron Mees<']
Yugi;131 min;Drama, Thriller            ;(2022);6.4;N/A;['>Zac Harriss<', '>|<'];['>Anandhi<', '>Aarti Desai<', '>Kathir<', '>Pavithra Lakshmi<']
Khasagi Putagalu;N/A;Comedy, Drama, Romance            ;(2022);9.9;N/A;['>Santhosh Srikantappa<', '>|<'];['>Vishwa<', '>Leonilla Shwetha Dsouza<', '>Nandagopal<', '>Chethan Durga<']
An Angelic Christmas;N/A;Drama            ;(2022);9.0;N/A;['>Josh Menning<', '>|<'];['>Karen Abercrombie<', '>Georin Aquila<', '>Cameron Arnett<', '>Sharonne Lanier<']
Kothamrito;122 min;Drama, Family            ;(2022);6.8;N/A;['>Jiit Chakraborty<', '>|<'];['>Aparajita Adhya<', '>Bihaan Saha Dalal<', '>Biswanath Basu<', '>Adetee Chatterjee<']
Alipiriki Allantha Dooramlo;N/A;Comedy, Crime, Drama            ;(2022);7.7;N/A;['>Anand J<', '>|<'];"['>N Raavan Reddy<', '>Sri Nikitha<', "">'Shatavadhani' Amudala Murali<"", '>Lahari Gudivada<']"
We Have to Leave Here Together;60 min;Drama, Romance            ;(2022);4.6;N/A;['>Joel Haver<', '>|<'];['>Joel Haver<']
Cheta Singh;N/A;Thriller            ;(2022);N/A;N/A;['>Ashish Kumar<', '>|<'];['>Japji Khaira<', '>Mintu Kapa<', '>Prince Kanwaljit Singh<', '>Irwin Meet Kaur<']
Lunastajat;92 min;Comedy, Thriller            ;(2022);6.1;N/A;['>Niko Kelkka<', '>Miro Laiho<', '>|<'];['>Roope Salminen<', '>Eino Heiskanen<', '>Anne-Mari Alaspää<', '>Ilona Chevakova<']
Untitled WB Event Film (November 2022);N/A;N/A;(2022);N/A;N/A;N/A;N/A
Best Couple;N/A;Romance            ;(2022);N/A;N/A;['>Ganesh Dorala<', '>|<'];['>Rajsekhar Aningi<', '>Chalaki Chanti<', '>Emanuel Jabardast<', '>Shagnasri<']
Evil Lives Here (Watch your back or you'll be sorry...);120 min;Drama            ;(2022);N/A;N/A;['>Korto Davis<', '>|<'];['>Korto Davis<', '>Sekou M. Sirleaf<', '>Ertamar Thompson<', '>George DayoCollins<']
The Gunslinger Grifter Logan;90 min;Adventure, Fantasy, Sci-Fi            ;(2022);7.1;N/A;['>Stephen Rubac<', '>|<'];['>Steve Polites<', '>Vincent Alcarese<', '>Frank Bliss<', '>Michael Brecher<']
Signature;111 min;Drama            ;(2022);N/A;N/A;['>Manoj Palodan<', '>|<'];['>Karthik Ramakrishnan<', '>Alphy Panjikaran<', '>Tini Tom<', '>Shaju K.S.<']
Dead Trace;N/A;Horror            ;(2022);N/A;N/A;['>Richard Bazley<', '>|<'];['>Brenda Fricker<', '>Andrew Sloey<']
Karotiyin Kadhali;N/A;Drama            ;(2022);7.4;N/A;['>R Siva<', '>|<'];['>Kumaravel<', '>R Siva<']
Paykappal;99 min;Drama            ;(2022);N/A;N/A;['>Mohamed Rafi<', '>|<'];['>Indrans<', '>Irshad<', '>Deepa Jayan<', '>Salu Koottanad<']
Play;117 min;Crime, Thriller            ;(III) (2022);6.5;N/A;['>Mokssh<', '>|<'];['>Abhinav Singh Raghav<', '>Ghazala<', '>Naina Sharma<', '>Ishaan Yadav<']
Elehiya;109 min;Drama            ;(2022);N/A;N/A;['>Loy Arcenas<', '>|<'];['>Cherie Gil<', '>Miguel Faustmann<', '>Ross Pesigan<', '>Sue Prado<']
2323 the Beginning;N/A;Action            ;(2022);8.4;N/A;['>Sathish Ramakrishnan<', '>|<'];['>Sathish Ramakrishnan<', '>Sathvika Appaiah<', '>Anand R Linga<', '>Crystal Imera<']
Sholai;N/A;Action            ;(2022);8.5;N/A;['>Siju Kamar<', '>|<'];['>Ayan Adhi<', '>Aneesh Khan<', '>Deepthi Rajesh<']
Aakaashathinu Thazhe;107 min;Drama            ;(2022);N/A;N/A;['>Lijeesh Mullezhath<', '>|<'];['>Kalabhavan Prachod<', '>Meenakshi Mahesh<', '>Siji Pradeep<', '>Maya Suresh<']
Seetharamapuramlo Okapremajanta;135 min;Family, Romance            ;(2022);4.9;N/A;['>M Vinay Babu<', '>|<'];['>Ranadheer<', '>Nandini<', '>Suman<', '>Surya<']
Vajood;N/A;Drama            ;(2022);N/A;N/A;['>Ajay Jethi<', '>|<'];['>Ajay Jethi<', '>Chandan Gill<', '>Sunita Dhir<', '>Prakash Gaadhu<']
Advitya;N/A;Sci-Fi            ;(2022);N/A;N/A;['>Arindam Sharma<', '>|<'];['>Arnab Ayan<', '>Niha Rani Das<']
Izgoi;90 min;Action, Drama            ;(2022);N/A;N/A;['>Mikhail Pogosov<', '>|<'];['>Aleksey Agryzkov<', '>Roman Aloyan<', '>Andrey Davydov<', '>Oleg Dobrovan<']
Vai e vem;82 min;N/A;(2022);N/A;N/A;N/A;N/A
Pirates Cove;N/A;Fantasy            ;(2022);N/A;N/A;['>Christian Ackerman<', '>|<'];['>Van Schultz<']
Love Gone Mad;N/A;Drama            ;(2022);N/A;N/A;['>Jerry Isichei<', '>|<'];['>Gift Obasi<', '>Bukky Ogunnote<', '>Sandra Okunzuwa<', '>Okey Uzoeshi<']
The 22nd Annual Animation Show of Shows;N/A;Animation            ;(2022);7.4;N/A;N/A;N/A
Nirbhaya;7 min;Drama            ;(2022);N/A;N/A;['>Tamjeed Elahi Khan<', '>|<'];['>Atif Beerwala<', '>Vijay Bhagwat<', '>Atul Deshmukh<', '>Aparna Deshpande<']
Rifftrax: Robot Monster;62 min;Sci-Fi            ;(2022);N/A;N/A;N/A;['>Bill Corbett<', '>Kevin Murphy<', '>Michael J. Nelson<']
Happiness;N/A;Drama            ;(II) (2022);N/A;N/A;['>Chance Smith<', '>|<'];['>Jb Bledsoe<', '>David Carrion<', '>Lizzie Corona<', '>Mattie Crosby<']
Huyen Su Vua Dinh;78 min;History            ;(2022);N/A;N/A;['>Anthony Vo<', '>|<'];['>Anh Tai<', '>Ngo Tien Thanh<', '>Sala Uyen Trinh<']
Ndutu;N/A;Drama            ;(2022);N/A;N/A;['>Steve Patrick Ngagoum<', '>Carole Nathalie Vokeu<', '>|<'];['>Stiven Essangue<', '>Serge Landrine Fasseu<', '>Silatcha Gerard<', '>Etienne Kamga<']
Tomato Tale;N/A;Adventure            ;(2022);N/A;N/A;['>Maxwell Park<', '>|<'];['>Will Dietsch<', '>Todd Harold<', '>Nick Henney<', '>Becky Park<']
Milva;N/A;Comedy            ;(2022);N/A;N/A;N/A;N/A
Sri Asih;135 min;Action, Adventure, Drama            ;(2022);7.0;N/A;['>Upi Avianto<', '>|<'];['>Pevita Pearce<', '>Ario Bayu<', '>Christine Hakim<', '>Jefri Nichol<']
Una nueva historia de Navidad;98 min;Comedy, Family            ;(2022);6.7;N/A;['>Clay Kaytis<', '>|<'];['>Peter Billingsley<', '>Erinn Hayes<', '>River Drosche<', '>Julianna Layne<']
Diabolik - Ginko all'attacco!;116 min;Action, Crime            ;(2022);5.5;N/A;['>Antonio Manetti<', '>Marco Manetti<', '>|<'];['>Giacomo Gianniotti<', '>Miriam Leone<', '>Valerio Mastandrea<', '>Monica Bellucci<']
Navidad contigo;89 min;Comedy, Family, Romance            ;(2022);5.6;N/A;['>Gabriela Tagliavini<', '>|<'];['>Aimee Garcia<', '>Freddie Prinze Jr.<', '>Mezi Atwood<', '>Deja Monique Cruz<']
Guan yu wo han gui bian cheng jia ren de na jian shi;130 min;Comedy, Drama            ;(2022);7.6;N/A;['>Wei-Hao Cheng<', '>|<'];['>Greg Han Hsu<', '>Po-Hung Lin<', '>Gingle Wang<', '>Chen-Nan Tsai<']
Rattled!;80 min;Crime            ;(2022);6.1;N/A;['>Bryan C. Watkins<', '>Dmitry Golovin<', '>|<'];"["">Nicholas D'Agosto<"", '>Dot-Marie Jones<', '>Pasha D. Lychnikoff<', '>Jessika Van<']"
Alapaap;130 min;Thriller            ;(2022);5.9;N/A;['>Freidric Macapagal Cortez<', '>|<'];['>Josef Elizalde<', '>Katrina Dovey<', '>Ali Asistio<', '>Andrea Garcia<']
The Good Person;85 min;Drama            ;(2022);7.0;N/A;['>Eitan Anner<', '>|<'];['>Lia Barnett<', '>Uri Gottlieb<', '>Rami Heuberger<', '>Moran Rosenblatt<']
Last Chance;90 min;Crime, Drama, Thriller            ;(III) (2022);7.8;N/A;['>George Jac<', '>|<'];['>Jayce Venditti<', '>Eva Ceja<', '>Jordan Jacobo<', '>Jonnie Kristen Maze<']
Veszélyes lehet a fagyi;90 min;Drama, Romance            ;(2022);6.7;N/A;['>Fanni Szilágyi<', '>|<'];['>Natasa Stork<', '>Márton Patkós<', '>Máté Szabó<', '>Magdi Bódi<']
Poetas;112 min;Drama, History, War            ;(2022);7.4;N/A;['>Giedrius Tamosevicius<', '>Vytautas V. Landsbergis<', '>|<'];['>Donatas Zelvys<', '>Dainius Gavenonis<', '>Indre Patkauskaite<', '>Martynas Nedzinskas<']
Ann;90 min;Drama            ;(2022);7.6;N/A;['>Ciaran Creagh<', '>|<'];"['>Ian Beattie<', '>Eileen Walsh<', '>Zara Devlin<', "">Senna O'Hara<""]"
Einfach mal was Schönes;116 min;Comedy, Drama, Romance            ;(2022);7.0;N/A;['>Karoline Herfurth<', '>|<'];['>Johannes Ahn<', '>Aaron Altaras<', '>Kathrin Angerer<', '>Linus Bade<']
Krysantemum;101 min;Drama            ;(2022);7.2;N/A;['>Christian Bengtson<', '>|<'];['>Morten Hee Andersen<', '>Henrik Birch<', '>Karen-Lise Mynster<', '>Marie Knudsen Fogh<']
Ashiap Man;102 min;Action, Adventure, Comedy            ;(2022);2.8;N/A;['>Atta Halilintar<', '>Herdanius Larobu<', '>|<'];['>Atta Halilintar<', '>Aurel Hermansyah<', '>Nasya Marcella<', '>Gritte Agatha<']
Cafe Midnight;N/A;Fantasy            ;(2022);5.2;N/A;N/A;N/A
The Island of Forgiveness;86 min;Drama            ;(2022);7.0;N/A;['>Ridha Behi<', '>|<'];['>Chedly Arfaoui<', '>Badis Behi<', '>Mohamed Ali Ben Jemaa<', '>Chedly Ben Messaoud<']
Mistletoe Ranch;89 min;Adventure, Drama, Romance            ;(2022);6.7;N/A;['>Rhiannon Bannenberg<', '>|<'];['>Mercy Cornwall<', '>Jordi Webber<', '>Molly Belle Wright<', '>Charles Allen<']
Cemetery Stories;N/A;Horror            ;(2022);4.5;N/A;['>Mark A. France<', '>Chase Murphy<', '>John Vella<', '>|<'];['>Kayden Bryce<', '>Chrystal Snow<', '>Angelina Danielle Cama<', '>Timothy Patrick Quill<']
Grand Prix;107 min;Comedy, Drama            ;(2022);5.9;N/A;['>Jan Prusinovský<', '>|<'];['>Krystof Hádek<', '>Robin Ferro<', '>Stepán Kozub<', '>Marek Daniel<']
Roxy;100 min;Comedy, Thriller            ;(2022);6.8;N/A;['>Dito Tsintsadze<', '>|<'];['>Devid Striesow<', '>Camilla Borghesani<', '>Vakho Chachanidze<', '>Ivan Shvedoff<']
Princezna zakletá v case 2;134 min;Comedy, Family, Fantasy            ;(2022);7.2;N/A;['>Petr Kubik<', '>|<'];['>Eliska Krenková<', '>Natalia Germani<', '>Marek Lambora<', '>Simona Zmrzlá<']
Amina;90 min;Drama            ;(III) (2022);8.0;N/A;['>Ahmed Abdullahi<', '>|<'];['>Nimco Ahmed Ali<', '>Ariane Castellanos<', '>Jamilah Mohamed Abdullahi Kirih<', '>Amir Malekpour<']
Sashenka;134 min;Drama, Thriller            ;(2022);6.6;N/A;['>Alexander Zhovna<', '>|<'];['>Oksana Burlay-Piterova<', '>Milena Kompaniiets<', '>Dmitry Nizhelsky<', '>Dmitry Orlov<']
Ojos que no ven;90 min;Drama, Thriller            ;(2022);5.8;N/A;['>Alfonso Zarate<', '>|<'];['>Flavio Medina<', '>Arcelia Ramírez<', '>Fernanda Castillo<', '>Hector Kotsifakis<']
Uti Deng Keke;92 min;Drama            ;(2022);6.3;N/A;['>Ruli Nursetia<', '>|<'];['>Addin Hidayat<', '>Fannita Posumah<', '>Akbar Longdong<', '>Steyer Djapai<']
Slon;87 min;Drama, Thriller            ;(I) (2022);6.1;N/A;['>Garik Petrosyan<', '>|<'];['>Vladimir Brest<', '>Aleksandr Goh<', '>Natalya Lanski<', '>Igor Lesov<']
The Christmas Show;106 min;Comedy            ;(2022);N/A;N/A;['>Alberto Ferrari<', '>|<'];['>Serena Autieri<', '>Nicolo Bertonelli<', '>Raoul Bova<', '>Giulio Nunziante Cesaro<']
Baris Akarsu Merhaba;115 min;Biography, Drama, Music            ;(2022);6.3;N/A;['>Mert Dikmen<', '>|<'];['>Ismail Ege Sasmaz<', '>Almila Ada<', '>Safak Pekdemir<', '>Burak Satibol<']
19B;90 min;Drama            ;(2022);6.5;N/A;['>Ahmad Abdalla<', '>|<'];['>Sayed Ragab<', '>Nahed El Sebaï<', '>Ahmad Khaled Saleh<', '>Fadwa Abed<']
Luz mala;71 min;Horror            ;(2022);6.0;N/A;['>Juan Schmidt<', '>|<'];['>Diego Alonso<', '>Martina Krasinsky<', '>Juan Luppi<', '>Elvira Onetto<']
Chink: Khostatiy detektiv;85 min;Animation, Adventure, Family            ;(2022);5.2;N/A;['>Grigoriy Vozhakin<', '>|<'];['>Evelina Blyodans<', '>Ivan Chaban<', '>Miroslava Karpovich<', '>Mikhail Kshishtovsky<']
El Ucumar;86 min;Horror            ;(2022);N/A;N/A;['>Octavio Revol Molina<', '>|<'];['>Clara Kovacic<', '>Nicolás Obregón<', '>Gastón Palermo<', '>Hilda Quipirolo<']
Hu ran xin dong;93 min;N/A;(2022);4.5;N/A;['>Ho-Pong Mak<', '>|<'];['>Tyson Chak<', '>Shirley Chan<', '>Toby Chan<', '>Tat-Ming Cheung<']
YA na peremotke!;89 min;Comedy, Sci-Fi            ;(2022);5.9;N/A;['>Nikita Vladimirov<', '>|<'];['>Andrey Burkovskiy<', '>Kseniya Teplova<', '>Irina Pegova<', '>Tatyana Dogileva<']
Circenisa Ziemassvetki;N/A;Comedy, Family            ;(2022);8.0;N/A;['>Aigars Grauba<', '>|<'];['>Kaspars Karklins<', '>Janis Vimba<', '>Inga Tropa<', '>Jekabs Reinis<']
Conversaciones sobre el odio;85 min;Drama            ;(2022);N/A;N/A;['>Vera Fogwill<', '>Diego Martínez<', '>|<'];['>Cecilia Roth<', '>Maricel Álvarez<']
Dreams Live in Trees;112 min;Drama            ;(2022);8.8;N/A;['>Marco Della Fonte<', '>|<'];['>Cristina Arnone<', '>Miriam Bardini<', '>Luciano Casaredi<', '>Evita Ciri<']
Grisha Subbotin;104 min;Comedy            ;(2022);4.9;N/A;['>Kirill Kotelnikov<', '>|<'];['>Dmitriy Brekotkin<', '>Aleksandr Bushuy<', '>Aleksandr Fukalov<', '>Anna Korkia<']
1000 deshevykh zazhigalok;91 min;Drama            ;(2022);5.2;N/A;['>Irina Obidova<', '>|<'];['>Pavel Chernyshyov<', '>Elizaveta Kononova<', '>Nikita Plakhotnyuk<', '>Anna Brenner-Vartanyan<']
Un Like de Navidad;91 min;Comedy            ;(2022);5.8;N/A;['>Boris Quercia<', '>|<'];['>Ignacia Antonia<', '>Rodrigo Salinas<', '>Sara Buzeta<', '>Ricardo Fernández<']
Ubezhishche;87 min;Drama, Thriller            ;(2022);5.7;N/A;['>Vladimir Tikhomirov<', '>|<'];['>Alisa Debabova-Lukshina<', '>Maxim Drozd<', '>Mikhail Evlanov<', '>Milana Filimonova<']
... It's Love?;N/A;Drama, Romance            ;(2022);5.0;N/A;['>Bare Vardic<', '>|<'];['>Patrik Beluzic<', '>Jozo Bendra<', '>Josip Bilen<', '>Leah Bishop<']
Reborn;N/A;N/A;(II) (2022);N/A;N/A;['>Danny Pang<', '>|<'];['>Yen-Jou Lin<', '>Bin Zhao<']
The General Manager;104 min;Comedy            ;(2022);N/A;N/A;['>Olowajaiye Michael<', '>|<'];['>Echezona Akachukwu<', '>Nanya Chukwuemeka<', '>Adekanla Desalu<', '>Abbyke Domina<']
Blank Stare;N/A;Horror            ;(2022);N/A;N/A;['>Curtis Everitt<', '>|<'];['>Megan Yanen<', '>Cynthia Bonner<', '>David Shoemaker<', '>Ehab Mustapha<']
Recuerdos del mal;85 min;Horror            ;(2022);3.1;N/A;['>Gabriel Musco<', '>|<'];['>Sofia Langoni<', '>Marta Quarleri<', '>Silvina Diez<', '>Lucas Martínez Foresi<']
Demonio Eclipse Rojo;65 min;Horror            ;(2022);N/A;N/A;['>Samot Marquez<', '>|<'];['>Chucho Fernández<', '>Gastón Frías<', '>Clara Kovacic<', '>Pablo Legeren<']
Aldeotas;85 min;Drama            ;(2022);N/A;N/A;['>Gero Camilo<', '>|<'];['>Gero Camilo<', '>Marat Descartes<']
Ruhire;N/A;Drama, Romance            ;(2022);N/A;N/A;['>Najini Dikkovita<', '>|<'];['>Dayananda Hewage<', '>Wishwa Lanka<', '>Maheshi Madushanka<', '>Malithi Nanayakkara<']
Khooni Jigar Kashmiri Noha;N/A;Family            ;(2022);N/A;N/A;['>Ruhullah<', '>|<'];['>Ruhool Kawa<', '>Ruhool Ahmad Kawa<', '>Ruhullah<']
Los Ilegales: La Carne de Cañon;N/A;Adventure            ;(2022);N/A;N/A;['>John Gabito Angel<', '>|<'];['>Alejandro Aldama<', '>Ana Isabel Bucio<', '>Leo Bucio<', '>Luis Leonardo Bucio<']
Abril: Irreal;N/A;Drama            ;(2022);N/A;N/A;['>Sergio Nolasco Infante<', '>|<'];['>Abril Vázquez<']
Donde Habitan Los Secretos;88 min;Drama            ;(2022);N/A;N/A;['>Víctor Morales<', '>|<'];['>Natalie Bustos<', '>Marcelo Muñoz Catalán<', '>Pier Nordetti<', '>Bárbara Panes<']
Sto Sirma;141 min;Drama            ;(2022);N/A;N/A;['>Leonidas Papadopoulos<', '>|<'];['>Periklis Albanis<', '>Yorgos Chraniotis<', '>Vaso Filippidou<', '>Giannis Fotinopoulos<']
Spirited Away: Live on Stage;170 min;Adventure, Family, Fantasy            ;(2022);8.6;N/A;['>John Caird<', '>|<'];['>Kotaro Daigo<', '>Kanna Hashimoto<', '>Satoshi Hashimoto<', '>Fu Hinami<']
Ditto;114 min;Drama, Fantasy, Romance            ;(II) (2022);6.8;N/A;['>Eun-young Seo<', '>|<'];['>Yeo Jin-gu<', '>Yi-Hyun Cho<', '>Kim Hye-yoon<', '>Bae In-Hyuk<']
Los billetes de lotería perdidos;106 min;Comedy, Crime            ;(2022);5.4;N/A;['>Prueksa Amaruji<', '>|<'];['>Somjit Jongjohor<', '>Torpong Kul-On<', '>Somyos Matures<', '>Wongravee Nateetorn<']
Une comédie romantique;98 min;Comedy, Drama            ;(2022);5.3;N/A;['>Thibault Segouin<', '>|<'];['>Alex Lutz<', '>Golshifteh Farahani<', '>Olivier Chantreau<', '>Lucie Debay<']
Ipersonnia;103 min;Sci-Fi            ;(2022);5.6;N/A;['>Alberto Mascia<', '>|<'];['>Stefano Accorsi<', '>Katsiaryna Shulha<', '>Astrid Meloni<', '>Andrea Germani<']
Sanaa;119 min;Drama            ;(2022);7.7;N/A;['>Sudhanshu Saria<', '>|<'];['>Radhika Madan<', '>Pooja Bhatt<', '>Samarth Shandilya<', '>Sohum Shah<']
The Devil's Stomping Ground;87 min;Horror            ;(2022);7.0;N/A;['>Jonathan Landau<', '>|<'];['>Marley Aliah<', '>Jordan Ray Allen<', '>Tanner Batts<', '>Peyton Belcher<']
The Resting Samurai;107 min;Crime, Drama, Thriller            ;(2022);N/A;N/A;['>Levan Tutberidze<', '>|<'];['>Otar Saralidze<', '>Nino Kasradze<', '>Andro Chichinadze<', '>Temiko Chichinadze<']
Mahal kita, beksman;106 min;Comedy            ;(2022);7.8;N/A;['>Perci M. Intalan<', '>|<'];['>Christian Bables<', '>Keempee de Leon<', '>Katya Santos<', '>Iana Bernardez<']
59 Minutes in a Bunker with the President of the United States;65 min;Comedy            ;(2022);N/A;N/A;['>David Cornelius<', '>|<'];['>Victoria Baker<', '>Heather Gonzales<', '>Brad Nicholas<', '>Amanda Blanco<']
Le défi de Noël;110 min;Comedy            ;(2022);N/A;N/A;['>Florian Hessique<', '>|<'];['>Aurore Planas<', '>Florian Hessique<', '>Corin Nemec<', '>Lisa Dann<']
Misión a Marte;72 min;Drama, Sci-Fi            ;(2022);7.4;N/A;['>Amat Vallmajor del Pozo<', '>|<'];['>Gerardo del Pozo<', '>Mila del Pozo<', '>Txomin del Pozo<']
Darkness of Otherwhere;N/A;Mystery, Thriller            ;(2022);7.5;N/A;['>Ayoub Qanir<', '>|<'];['>Mika Hijii<', '>Kôhei Mashiba<', '>Lee Murayama<', '>Naoyuki Miyahara<']
